Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Latin America & Caribbean (excluding high income),LAC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Latvia,LVA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-669889910.960656
Least developed countries: UN classification,LDC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Lebanon,LBN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1499077656.4
Lesotho,LSO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-113220010.397593
Liberia,LBR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-232679832.473779
Libya,LBY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,394900000
Liechtenstein,LIE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Lithuania,LTU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-680317054.687213
Low & middle income,LMY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Low income,LIC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Lower middle income,LMC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Luxembourg,LUX,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,79403740324.0255
"Macao SAR, China",MAC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-658054977.710649
Madagascar,MDG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-246135354.480032
Malawi,MWI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-292852668.829506
Malaysia,MYS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,684808753.488057
Maldives,MDV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-297975993.392527
Mali,MLI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-193153992.706279
Malta,MLT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10232703292.3804
Marshall Islands,MHL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,5393638.49927042
Mauritania,MRT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-501726765.733819
Mauritius,MUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4506901282.31091
Mexico,MEX,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-25272769888
"Micronesia, Fed. Sts.",FSM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Middle income,MIC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Moldova,MDA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-218560000
Monaco,MCO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Mongolia,MNG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-82911241.9430886
Montenegro,MNE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-687462796.042968
Morocco,MAR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2596320889.57118
Mozambique,MOZ,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3866831986.83
Myanmar,MMR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-4083839111.71186
Namibia,NAM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-734559243.831139
Nauru,NRU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,4437826.97410341
Nepal,NPL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-51895699.9282915
New Caledonia,NCL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1145991624.77407
New Zealand,NZL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,57648272.7633066
Nicaragua,NIC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-922000000
Niger,NER,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-495338338.194746
Nigeria,NGA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1628965267.75883
North America,NAC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
North Macedonia,MKD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-230313801.403733
Northern Mariana Islands,MNP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Norway,NOR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,14150870886.9077
Not classified,INX,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
OECD members,OED,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Oman,OMN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,2507412223.6671
Other small states,OSS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Pacific island small states,PSS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Pakistan,PAK,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1648000000
Palau,PLW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-34583158.147185
Panama,PAN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3972100000
Papua New Guinea,PNG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-38653555.796989
Paraguay,PRY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-320658410.194967
Peru,PER,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-7999614643.01505
Philippines,PHL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-99650560.9468141
Poland,POL,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10753000000
Portugal,PRT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2170813299.92913
Post-demographic dividend,PST,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Pre-demographic dividend,PRE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Puerto Rico (US),PRI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Qatar,QAT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,2952472527.47253
Romania,ROU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3287699498.3186
Russian Federation,RUS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,15232100000
Rwanda,RWA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-158630539.608002
Samoa,WSM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-23162686.3233541
San Marino,SMR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Sao Tome and Principe,STP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-25269253.0202041
Saudi Arabia,SAU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,1419284248.71197
Senegal,SEN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-377802064.408017
Serbia,SRB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1998858559.50201
Seychelles,SYC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-192959276.437493
Sierra Leone,SLE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-252435829.433901
Singapore,SGP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-24551342898.187
Sint Maarten (Dutch part),SXM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-27664804.4692737
Slovak Republic,SVK,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-102085992.193631
Slovenia,SVN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1404352737.77462
Small states,SST,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Solomon Islands,SLB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-27508876.5557426
"Somalia, Fed. Rep.",SOM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
South Africa,ZAF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,3993788900.72149
South Asia,SAS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
South Asia (IDA & IBRD),TSA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
South Sudan,SSD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1180000
Spain,ESP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,34437179268.2344
Sri Lanka,LKA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-626668319.790231
St. Kitts and Nevis,KNA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-133211670
St. Lucia,LCA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-128965525.35938
St. Martin (French part),MAF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
St. Vincent and the Grenadines,VCT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-115778056.464815
Sub-Saharan Africa,SSF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Sub-Saharan Africa (excluding high income),SSA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Sudan,SDN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1728373403.43067
Suriname,SUR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-266741455.98756
Sweden,SWE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,4491589833.52279
Switzerland,CHE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,7382490805.01529
Syrian Arab Republic,SYR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Tajikistan,TJK,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-454012320
Tanzania,TZA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1506024896.011
Thailand,THA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3936528344.15842
Timor-Leste,TLS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-30328700
Togo,TGO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,90793247.4664581
Tonga,TON,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-14831416.3303295
Trinidad and Tobago,TTO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-48490372.097155
Tunisia,TUN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-970521888.740203
Turkiye,TUR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-14167000000
Turkmenistan,TKM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Turks and Caicos Islands,TCA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,69863000
Tuvalu,TUV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
Uganda,UGA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-737369521.053034
Ukraine,UKR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,236000000
United Arab Emirates,ARE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
United Kingdom,GBR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-105510499552.5
United States,USA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-209363000000
Upper middle income,UMC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Uruguay,URY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-774700169.74299
Uzbekistan,UZB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1036625230.27393
Vanuatu,VUT,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-29733139.6027792
"Venezuela, RB",VEN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-370000000
Viet Nam,VNM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-10700000000
Virgin Islands (U.S.),VIR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
West Bank and Gaza,PSE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-29667905.7223233
World,WLD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
"Yemen, Rep.",YEM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,15444808.3545508
Zambia,ZMB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1724246017.62667
Zimbabwe,ZWE,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-399200000
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
